LW_ID,RSU_ID,LW_DATE,LW_FRONT,LW_BACK,DOOR_ZONE_FRONT,DOOR_ZONE_BACK,UPDATED_TIME,TRANSACTION_ID,SOURCE_CAR_NBR,POI_CODE,POI_NUM,MIN_BASELINE,MIN_BASELINE_UPDATED_TIME,THREE_HR_LW_MIN,PASSENGER_LEVEL,NUM_OF_PASSENGERS,DOOR_STATUS
434,7427,07/15/2020 02:29:44,69,61,0,0,07/15/2020 02:29:46,26032975,7427,HYD,95,65,07/15/2020 01:38:21,65,1,3,CLOSED
435,7428,07/15/2020 02:29:44,68,60,0,1,07/15/2020 02:29:46,26032975,7427,HYD,95,63,07/15/2020 01:38:21,63,1,6,CLOSED
88,7182,07/15/2020 09:50:36,65,58,1,1,07/15/2020 09:50:39,26257927,7181,HYD,95,62,07/15/2020 09:50:39,68,0,0,OPEN
170,7429,07/15/2020 09:52:59,67,62,1,0,07/15/2020 09:53:08,26259233,7429,0,0,65,07/15/2020 08:53:07,65,0,0,OPEN
171,7430,07/15/2020 09:52:59,67,59,1,1,07/15/2020 09:53:08,26259233,7429,0,0,63,07/15/2020 08:53:07,63,0,0,OPEN
298,7180,07/15/2020 09:57:08,67,61,1,1,07/15/2020 09:57:12,26261394,7179,HYD,95,64,07/15/2020 09:57:12,68,0,0,OPEN
297,7179,07/15/2020 09:57:08,69,62,1,0,07/15/2020 09:57:12,26261394,7179,HYD,95,66,07/15/2020 09:28:28,66,0,0,OPEN
212,7764,07/15/2020 09:57:44,65,59,1,1,07/15/2020 09:57:49,26261733,7763,0,0,62,07/15/2020 07:57:47,62,0,0,OPEN
213,7763,07/15/2020 09:57:44,68,62,1,0,07/15/2020 09:57:49,26261733,7763,0,0,65,07/15/2020 09:57:49,68,1,3,OPEN
557953,7126,07/15/2020 09:58:04,67,60,1,1,07/15/2020 09:58:08,26261909,7125,HYD,95,63,07/15/2020 09:06:43,64,1,3,OPEN
557952,7125,07/15/2020 09:58:04,68,61,1,0,07/15/2020 09:58:08,26261909,7125,HYD,95,64,07/15/2020 07:06:42,64,1,3,OPEN
829,7754,07/15/2020 09:58:06,66,58,1,1,07/15/2020 09:58:09,26261921,7109,0,0,62,07/15/2020 09:58:09,68,0,0,OPEN
993,7650,07/15/2020 09:58:06,67,58,1,1,07/15/2020 09:58:09,26261921,7109,0,0,62,07/15/2020 09:58:09,68,1,3,OPEN
